Time,Average CPS Temperature,Total CPS Evaporation_Rate,Total Amount Evaporated
142.0,578.1649939004849,0.03166658551965023,4.6397
143.0,581.0556435389125,0.03367483651018834,4.6397
144.0,583.9311037789931,0.03578172276762182,4.6397
145.0,586.7909633725039,0.03798995400333767,4.6397
146.0,589.6350094815127,0.040302594107876746,4.6397
147.0,592.4629403650903,0.0427223934967855,4.6397
148.0,595.2742484378157,0.04525175759974224,4.6397
149.0,598.0696092110829,0.04789466874339591,4.6397
150.0,600.8493900959882,0.050654787965436154,4.6397
150.5,601.00396581071,0.05046455982251918,4.6397
151.0,600.9528474964666,0.05000911014051859,4.6397
151.5,601.1011869454949,0.049819313160930544,4.6397
152.0,601.4225007887065,0.04985888088254564,4.6397
152.5,601.8745457579788,0.050072970237881056,4.6397
153.0,602.4258870779964,0.050421853267050634,4.6397
153.5,603.0545308995277,0.05087820062121371,4.6397
154.0,603.7443809072282,0.05142245219734534,4.6397
154.5,604.4836436748914,0.052040674576426554,4.6397
155.0,605.2613441977581,0.05271976322288562,4.6397
156.0,593.5591986913556,0.03858631591210067,4.6397
157.0,583.7817891327524,0.029604319753051885,4.6397
158.0,577.2523453467396,0.024712596844561924,4.6397
159.0,571.1918471643078,0.020872591139078415,4.6397
160.0,567.2610996624397,0.01864104303339329,4.6397
161.0,563.3303244811058,0.01664157286907188,4.6397
162.0,559.5093269660367,0.014894381050679991,4.6397
163.0,557.237066512286,0.01388038351777281,4.6397
164.0,554.964726228672,0.012931768116974808,4.6397
165.0,552.6924350483356,0.012044783537716743,4.6397
166.0,550.4201159490398,0.011215649216849432,4.6397
167.0,548.3167794224113,0.01048873759992227,4.6397
168.0,547.0217069868845,0.010023776131227794,4.6397
169.0,545.7267711389428,0.00957831434496275,4.6397
170.0,544.4318681145203,0.009151595324256257,4.6397
171.0,543.1368461463035,0.008742861850847126,4.6397
172.0,541.8419190522806,0.008351499025644,4.6397
173.0,540.5468957715838,0.007976831913527542,4.6397
174.0,539.2520344722666,0.007618227241884017,4.6397
175.0,538.4543772482544,0.007382468052631273,4.6397
176.0,537.6979982735676,0.007162619495290219,4.6397
177.0,536.9416760711872,0.006949257726910098,4.6397
178.0,536.1853206372801,0.006742219701972536,4.6397
179.0,535.4290576432809,0.006541343806047045,4.6397
180.0,534.6726136701285,0.006346424423270553,4.6397
181.0,533.9161943491209,0.006157327698494611,4.6397
182.0,533.1598000387376,0.0059739161475519074,4.6397
183.0,532.4034647666683,0.005796042015415546,4.6397
184.0,531.7059700137601,0.005634402781209295,4.6397
185.0,531.2142292477754,0.005514534029401223,4.6397
186.0,530.722337186359,0.00539740616222926,4.6397
187.0,530.2305213500522,0.00528295884039279,4.6397
188.0,529.7387086755651,0.005171142448058867,4.6397
189.0,529.246926004746,0.005061906563195437,4.6397
190.0,528.7551110744939,0.004955201172367571,4.6397
191.0,528.2633162185922,0.004850961905142447,4.6397
192.0,527.7715044422986,0.0047491486911814314,4.6397
193.0,527.2797255568744,0.004649690854339924,4.6397
194.0,526.8194949713438,0.004557794138172364,4.6397
195.0,526.4699364688461,0.004485901312444804,4.6397
196.0,526.1204203017824,0.004415349490061863,4.6397
197.0,525.7708594611162,0.004346115311561812,4.6397
198.0,525.4214008489907,0.004278194495780252,4.6397
199.0,525.0718074475864,0.004211534460613716,4.6397
200.0,524.7222058288114,0.004146123077644171,4.6397
201.0,524.3726690418987,0.00408195501207935,4.6397
202.0,524.0231080384199,0.0040189946596227415,4.6397
203.0,523.6735829325704,0.003957224829028953,4.6397
204.0,523.3423040476176,0.003899440582853875,4.6397
205.0,523.0748608107775,0.0038523507306607078,4.6397
206.0,522.8074250121545,0.003805993923437657,4.6397
207.0,522.5400014648027,0.0037603697939944877,4.6397
208.0,522.2725970454214,0.003715461148393703,4.6397
209.0,522.0052130848356,0.0036712555962023444,4.6397
210.0,521.7378026635621,0.0036277498271268067,4.6397
211.0,521.4703336175332,0.003584924722353537,4.6397
212.0,521.2029416902714,0.0035427818320405203,4.6397
213.0,520.9355776005182,0.003501311770466666,4.6397
214.0,520.6791378822963,0.003462091299933613,4.6397
215.0,520.4614391885324,0.003429031209657339,4.6397
216.0,520.2437370679362,0.0033964032766107,4.6397
217.0,520.0260596720352,0.003364224579403091,4.6397
218.0,519.8083248195101,0.003332458468842601,4.6397
219.0,519.5905680220822,0.0033011169132387114,4.6397
220.0,519.3728873339303,0.003270201744258056,4.6397
221.0,519.1551120259628,0.003239692465981851,4.6397
222.0,518.9374253657711,0.003209598128425204,4.6397
223.0,518.7196268637662,0.003179900597510332,4.6397
224.0,518.5088442775132,0.0031515792945270515,4.6397
225.0,518.3222517968715,0.003126966078064341,4.6397
226.0,518.1355633811002,0.0031026251436559317,4.6397
227.0,517.948920339934,0.0030785654038834325,4.6397
228.0,517.7622793631648,0.003054779495335805,4.6397
229.0,517.5755890265763,0.003031259684075972,4.6397
230.0,517.3888433659063,0.003008006102648803,4.6397
231.0,517.2021690689321,0.00298502166550554,4.6397
232.0,517.0155712080388,0.0029623103030045135,4.6397
233.0,516.8288774667286,0.0029398474892446845,4.6397
234.0,516.6466891047268,0.0029182537021582066,4.6397
235.0,516.4798146764323,0.0028989611127300126,4.6397
236.0,516.313097335892,0.002879869511025617,4.6397
237.0,516.1461595599047,0.0028609501907059733,4.6397
238.0,515.9793597469336,0.0028422226397978017,4.6397
239.0,515.8125994271039,0.002823683865784713,4.6397
240.0,515.6457811646575,0.0028053201644774053,4.6397
241.0,515.4789092245496,0.002787134900202605,4.6397
242.0,515.3121652164947,0.002769135888163968,4.6397
243.0,515.1454001475533,0.002751314843824114,4.6397
244.0,514.9803232327943,0.0027338927147747536,4.6397
245.0,514.8219457148515,0.002717486772205242,4.6397
246.0,514.663590044553,0.002701226027755459,4.6397
247.0,514.5051458574367,0.002685108065180898,4.6397
248.0,514.3467908098727,0.002669139877702998,4.6397
249.0,514.1884874761586,0.00265332096395848,4.6397
250.0,514.0341240031097,0.002638149375214807,4.6397
251.0,513.8823725918288,0.0026234317183602297,4.6397
252.0,513.7305726567214,0.0026088336239400572,4.6397
253.0,513.578881660795,0.0025943632873348123,4.6397
254.0,513.4271215603005,0.002580006919890234,4.6397
256.0,513.1243952132203,0.002551748981675319,4.6397
266.0,511.69088672456087,0.002426114296224247,4.6397
276.0,510.3146865266221,0.0023159379148643745,4.6397
286.0,508.9736103974153,0.0022162663312998293,4.6397
296.0,507.65845247040977,0.002124680870007424,4.6397
306.0,506.36322493122566,0.0020395342713444104,4.6397
316.0,505.08398558272387,0.0019596809431064,4.6397
326.0,503.81805868357816,0.0018843087040551203,4.6397
336.0,502.5639793343328,0.0018128469867841333,4.6397
346.0,501.3203626517538,0.001744847232784639,4.6397
356.0,500.08660323925915,0.0016799886131714454,4.6397
366.0,498.86244864857406,0.001618026083621983,4.6397
376.0,497.64717390981673,0.0015587315065749227,4.6397
386.0,496.4408663360606,0.0015019488290133104,4.6397
396.0,495.24308787549217,0.001447518286605572,4.6397
406.0,494.05399077678476,0.0013953240460462112,4.6397
416.0,492.87327603387695,0.0013452432223278153,4.6397
426.0,491.7008770575145,0.0012971734200174286,4.6397
436.0,490.53680231673167,0.0012510228084828723,4.6397
446.0,489.3808952381598,0.0012067004719906595,4.6397
456.0,488.23297900492867,0.0011641199188273828,4.6397
466.0,487.0932051427662,0.0011232126667511263,4.6397
476.0,485.96146573204425,0.0010839040584752992,4.6397
486.0,484.83727977568293,0.0010461113012743524,4.6397
496.0,483.7210557341447,0.0010097853967683025,4.6397
506.0,481.571644994106,0.0009429016842031423,4.6397
516.0,481.51141339833265,0.0009412627135249562,4.6397
526.0,480.417772347625,0.0009089486364917227,4.6397
546.0,478.2528300247513,0.000847958020045688,4.6397
556.0,477.18111226443773,0.0008191740486672636,4.6397
566.0,476.1167115072255,0.0007914750610449792,4.6397
576.0,475.0592339392211,0.0007648081219255145,4.6397
586.0,474.0086797168958,0.0007391330243992606,4.6397
596.0,472.96507702439686,0.0007144118964299136,4.6397
606.0,471.92804730572266,0.0006905988989336591,4.6397
616.0,470.89788618756916,0.0006676656524580903,4.6397
626.0,469.87436502597933,0.0006455732850332211,4.6397
636.0,468.85720866635484,0.0006242837627027369,4.6397
646.0,467.84662138019354,0.0006037708130573283,4.6397
656.0,466.8422582691475,0.0005839980085362007,4.6397
666.0,465.8442709110449,0.0005649402385008276,4.6397
676.0,464.85233707624013,0.0005465646757051046,4.6397
686.0,463.8666206302113,0.0005288486368445078,4.6397
696.0,462.88679986361444,0.0005117618519029619,4.6397
706.0,461.9129792820915,0.000495282781309617,4.6397
716.0,460.945074432842,0.00047938738766989684,4.6397
726.0,459.98295021113455,0.0004640519373482513,4.6397
736.0,459.02653827988473,0.0004492548453915106,4.6397
746.0,458.0758339947936,0.0004349762469364972,4.6397
766.0,456.19103543873536,0.0004078923005287809,4.6397
786.0,454.32794505601345,0.00038264965603319705,4.6397
796.0,453.40457122239553,0.0003706781301653528,4.6397
806.0,452.4861748397204,0.0003591131144204171,4.6397
816.0,451.5731473072335,0.0003479450520353005,4.6397
826.0,450.6651504441777,0.00033715571403096896,4.6397
836.0,449.7622813347015,0.00032673274830501,4.6397
846.0,448.8643555874626,0.0003166612302234186,4.6397
856.0,447.9713927921894,0.000306928945700706,4.6397
866.0,447.0832314425334,0.00029752234299740765,4.6397
876.0,446.1999907146581,0.00028843123256646014,4.6397
896.0,444.44783925224937,0.00027114765084296927,4.6397
906.0,443.5786952605814,0.00026293230190594253,4.6397
926.0,441.8542792305482,0.0002473061853394984,4.6397
946.0,440.14782237476487,0.0002326876924961573,4.6397
956.0,439.301105532049,0.0002257332012579435,4.6397
966.0,438.45894822479926,0.00021900628044639928,4.6397
976.0,437.6209497341456,0.00021249611121832506,4.6397
986.0,436.78736415209465,0.00020619730321526632,4.6397
996.0,435.95784686340954,0.00020010017945890928,4.6397
1006.0,435.13256613018314,0.0001941992764787509,4.6397
1016.0,434.31135162001095,0.0001884867933064444,4.6397
1026.0,433.4942704139137,0.0001829569642543353,4.6397
1036.0,432.6811969810353,0.0001776028456633822,4.6397
1046.0,431.8720435110671,0.00017241810820717296,4.6397
1056.0,431.0670445918259,0.0001673986271481351,4.6397
1066.0,430.2657702601467,0.00016253629860484548,4.6397
1076.0,429.4684127414287,0.0001578271853329968,4.6397
1086.0,428.674892270103,0.00015326579042148692,4.6397
1096.0,427.8852195389089,0.0001488473407814886,4.6397
1106.0,427.0992458216528,0.00014456637977307843,4.6397
1116.0,426.31705475151057,0.0001404189296413042,4.6397
1126.0,425.5384793137676,0.0001363997727480819,4.6397
1136.0,424.76339065631123,0.00013250416396419815,4.6397
1156.0,423.2243537641249,0.00012507115734067606,4.6397
1176.0,421.69938640930656,0.00011808696071983975,4.6397
1186.0,420.9421119886571,0.00011475401570835441,4.6397
1196.0,420.18817583322095,0.00011152212733476249,4.6397
1206.0,419.4377315368389,0.00010838874813476904,4.6397
1216.0,418.6906516931457,0.00010535024930505089,4.6397
1226.0,417.9470306975487,0.00010240402335167663,4.6397
1236.0,417.20657370584007,9.954602014515594e-05,4.6397
1246.0,416.46939888573826,9.677393841054578e-05,4.6397
1256.0,415.7354515862713,9.40849156838921e-05,4.6397
1266.0,415.00476182252663,9.147646303615231e-05,4.6397
1276.0,414.2772416614964,8.894577261015144e-05,4.6397
1286.0,413.5528488485615,8.649029390157592e-05,4.6397
1316.0,411.3984190044005,7.955230791504493e-05,4.6397
1336.0,409.97724943086627,7.52609328132137e-05,4.6397
